"","mean","se_mean","sd","X50.","group"
"noiseSubj.19..1",0.433824971329719,0.00335658090877963,0.332965678557522,0.351029865636259,"P"
"noiseSubj.20..1",0.115114920144118,0.00120331793715825,0.121679436742268,0.0778624500530937,"P"
"noiseSubj.21..1",0.347318345501707,0.00231512947773992,0.258139000420799,0.283856170031204,"P"
"noiseSubj.22..1",0.246880228883869,0.00221197670770179,0.217448578124066,0.186950774533947,"P"
"noiseSubj.23..1",0.231531049827901,0.00196146777679869,0.198824578027371,0.179364775564328,"P"
"noiseSubj.24..1",0.277211761778464,0.00248461973537019,0.239570065879962,0.210789328229239,"P"
"noiseSubj.25..1",0.0506188531844129,0.000622499480052934,0.0628182262346251,0.0307139600970392,"P"
"noiseSubj.26..1",0.463317483448603,0.00346689712256547,0.361161222332764,0.371801858546313,"P"
"noiseSubj.27..1",0.35253462526406,0.00221654511798553,0.251309185049538,0.293199110208169,"P"
"noiseSubj.28..1",0.0650663084678917,0.000785511538272883,0.0731660229161702,0.0427543371364833,"P"
"noiseSubj.29..1",0.0355001364048487,0.000408055951184806,0.0391374009639852,0.0234269015967135,"P"
"noiseSubj.30..1",0.502687233697605,0.0033894740085573,0.369311722909189,0.412996740976021,"P"
"noiseSubj.31..1",0.179584912859136,0.00113281889784979,0.12383325122489,0.152244264916342,"P"
